#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,20.0,1.0000,-56.77,14.14
2,21.5,1.0000,-56.77,12.76
3,23.3,1.0000,-56.79,11.48
4,25.1,1.0000,-56.84,10.14
5,27.1,1.0000,-56.94,8.94
6,29.3,1.0000,-57.04,7.76
7,31.6,1.0000,-57.13,7.04
8,34.1,1.0000,-57.23,5.54
9,36.9,1.0000,-57.25,5.61
10,39.8,1.0000,-57.25,5.14
11,43.0,1.0000,-57.35,4.90
12,46.4,1.0000,-57.53,4.17
13,50.1,1.0000,-57.79,5.43
14,54.1,1.0000,-58.27,5.75
15,58.4,1.0000,-60.14,11.36
16,63.1,1.0000,-59.67,11.99
17,68.1,1.0000,-59.60,17.87
18,73.6,1.0000,-58.93,24.51
19,79.4,1.0000,-58.44,30.82
20,85.8,1.0000,-57.86,34.22
21,92.6,1.0000,-57.28,36.35
22,100.0,1.0000,-56.43,36.77
23,108.0,1.0000,-55.75,36.09
24,116.6,1.0000,-55.23,35.50
25,125.9,1.0000,-54.80,33.84
26,135.9,1.0000,-54.41,32.77
27,146.8,1.0000,-54.14,31.81
28,158.5,1.0000,-53.88,30.12
29,171.1,1.0000,-53.67,29.51
30,184.8,1.0000,-53.49,28.86
31,199.5,1.0000,-53.32,27.79
32,215.4,1.0000,-53.17,27.42
33,232.6,1.0000,-52.99,26.97
34,251.2,1.0000,-52.85,26.62
35,271.2,1.0000,-52.73,26.20
36,292.9,1.0000,-52.57,26.80
37,316.2,1.0000,-52.44,26.15
38,341.5,1.0000,-52.35,26.06
39,368.7,1.0000,-52.14,26.24
40,398.1,1.0000,-52.15,26.46
41,429.9,1.0000,-51.99,26.32
42,464.2,1.0000,-51.75,26.44
43,501.2,1.0000,-51.69,27.52
44,541.2,1.0000,-51.55,27.68
45,584.3,1.0000,-51.36,28.42
46,631.0,1.0000,-51.10,28.69
47,681.3,1.0000,-50.74,29.49
48,735.6,1.0000,-50.55,30.62
49,794.3,1.0000,-50.19,30.54
50,857.7,1.0000,-49.94,30.71
51,926.1,1.0000,-49.56,30.47
52,1000.0,1.0000,-49.10,30.56
53,1079.8,1.0000,-48.76,29.91
54,1165.9,1.0000,-48.45,29.03
55,1258.9,1.0000,-48.14,28.42
56,1359.4,1.0000,-47.87,27.49
57,1467.8,1.0000,-47.63,26.64
58,1584.9,1.0000,-47.46,25.60
59,1711.3,1.0000,-47.30,24.85
60,1847.8,1.0000,-47.17,24.14
61,1995.3,1.0000,-47.08,23.66
62,2154.4,1.0000,-46.97,23.51
63,2326.3,1.0000,-46.89,23.33
64,2511.9,1.0000,-46.82,23.56
65,2712.3,1.0000,-46.73,23.93
66,2928.6,1.0000,-46.63,24.47
67,3162.3,1.0000,-46.51,25.17
68,3414.5,1.0000,-46.37,26.10
69,3686.9,1.0000,-46.22,27.12
70,3981.1,1.0000,-46.02,28.02
71,4298.7,1.0000,-45.78,29.06
72,4641.6,1.0000,-45.53,29.95
73,5011.9,1.0000,-45.21,30.87
74,5411.7,1.0000,-44.90,31.47
75,5843.4,1.0000,-44.55,32.11
76,6309.6,1.0000,-44.20,32.47
77,6812.9,1.0000,-43.83,32.56
78,7356.4,1.0000,-43.45,32.47
79,7943.3,1.0000,-43.12,32.19
80,8577.0,1.0000,-42.75,31.78
81,9261.2,1.0000,-42.41,31.21
82,10000.0,1.0000,-42.08,30.54
83,10797.8,1.0000,-41.80,29.66
84,11659.1,1.0000,-41.51,28.71
85,12589.3,1.0000,-41.24,27.66
86,13593.6,1.0000,-41.01,26.51
87,14678.0,1.0000,-40.78,25.42
88,15848.9,1.0000,-40.60,24.18
89,17113.3,1.0000,-40.44,23.02
90,18478.5,1.0000,-40.28,21.82
91,19952.6,1.0000,-40.17,20.68
92,21544.3,1.0000,-40.06,19.53
93,23263.1,1.0000,-39.97,18.46
94,25118.9,1.0000,-39.92,17.47
95,27122.7,1.0000,-39.88,16.61
96,29286.4,1.0000,-39.88,15.88
97,31622.8,1.0000,-39.88,15.18
98,34145.5,1.0000,-39.89,14.71
99,36869.5,1.0000,-39.91,14.42
100,39810.7,1.0000,-39.95,14.31
101,42986.6,1.0000,-39.99,14.28
102,46415.9,1.0000,-40.04,14.54
103,50118.7,1.0000,-40.05,14.94
104,54117.0,1.0000,-40.10,16.19
105,58434.1,1.0000,-40.29,16.30
106,63095.7,1.0000,-39.92,17.32
107,68129.2,1.0000,-39.83,18.05
108,73564.2,1.0000,-40.25,19.84
109,79432.8,1.0000,-40.07,26.50
110,85769.6,1.0000,-39.61,28.24
111,92611.9,1.0000,-39.09,24.78
112,100000.0,1.0000,-38.87,27.59
