#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,20.0,1.0000,11.98,149.61
2,22.4,1.0000,12.00,145.14
3,25.1,1.0000,11.99,140.21
4,28.2,1.0000,11.98,134.53
5,31.6,1.0000,11.94,128.24
6,35.5,1.0000,11.92,120.97
7,39.8,1.0000,11.85,112.80
8,44.7,1.0000,11.77,103.38
9,50.1,1.0000,11.61,92.78
10,56.2,1.0000,11.37,80.63
11,63.1,1.0000,11.02,66.66
12,70.8,1.0000,10.51,51.05
13,79.4,1.0000,9.79,33.89
14,89.1,1.0000,8.83,15.11
15,100.0,1.0000,7.64,-4.68
16,112.2,1.0000,6.32,-25.01
17,125.9,1.0000,4.93,-45.30
18,141.3,1.0000,3.62,-65.39
19,158.5,1.0000,2.51,-84.58
20,177.8,1.0000,1.63,-102.82
21,199.5,1.0000,0.99,-120.09
22,223.9,1.0000,0.56,-136.24
23,251.2,1.0000,0.32,-151.41
24,281.8,1.0000,0.16,-165.90
25,316.2,1.0000,0.10,179.83
26,354.8,1.0000,0.15,165.62
27,398.1,1.0000,0.26,151.12
28,446.7,1.0000,0.50,136.01
29,501.2,1.0000,0.88,119.99
30,562.3,1.0000,1.48,103.03
31,631.0,1.0000,2.31,85.03
32,707.9,1.0000,3.34,66.21
33,794.3,1.0000,4.58,46.62
34,891.3,1.0000,5.93,26.68
35,1000.0,1.0000,7.28,6.70
36,1122.0,1.0000,8.47,-12.78
37,1258.9,1.0000,9.46,-31.38
38,1412.5,1.0000,10.22,-48.64
39,1584.9,1.0000,10.75,-64.24
40,1778.3,1.0000,11.15,-78.11
41,1995.3,1.0000,11.42,-90.33
42,2238.7,1.0000,11.59,-101.05
43,2511.9,1.0000,11.70,-110.35
44,2818.4,1.0000,11.76,-118.52
45,3162.3,1.0000,11.82,-125.59
46,3548.1,1.0000,11.84,-131.83
47,3981.1,1.0000,11.87,-137.29
48,4466.8,1.0000,11.88,-142.16
49,5011.9,1.0000,11.89,-146.44
50,5623.4,1.0000,11.90,-150.18
51,6309.6,1.0000,11.90,-153.60
52,7079.5,1.0000,11.90,-156.58
53,7943.3,1.0000,11.92,-159.27
54,8912.5,1.0000,11.92,-161.61
55,10000.0,1.0000,11.92,-163.78
56,11220.2,1.0000,11.92,-165.68
57,12589.3,1.0000,11.92,-167.40
58,14125.4,1.0000,11.92,-168.94
59,15848.9,1.0000,11.92,189.62
60,17782.8,1.0000,11.92,188.37
61,19952.6,1.0000,11.93,187.23
62,22387.2,1.0000,11.94,186.17
63,25118.9,1.0000,11.93,185.18
64,28183.8,1.0000,11.93,184.30
65,31622.8,1.0000,11.93,183.44
66,35481.3,1.0000,11.94,182.64
67,39810.7,1.0000,11.95,181.89
68,44668.4,1.0000,11.95,181.14
69,50118.7,1.0000,11.96,180.41
70,56234.1,1.0000,11.97,179.67
71,63095.7,1.0000,12.00,178.98
72,70794.6,1.0000,12.03,178.17
73,79432.8,1.0000,12.04,177.31
74,89125.1,1.0000,12.08,176.45
75,100000.0,1.0000,12.11,175.47
76,112201.8,1.0000,12.16,174.37
77,125892.5,1.0000,12.22,173.18
78,141253.8,1.0000,12.27,171.81
79,158489.3,1.0000,12.34,170.26
80,177827.9,1.0000,12.40,168.48
81,199526.2,1.0000,12.52,166.31
82,223872.1,1.0000,12.62,163.87
83,251188.6,1.0000,12.76,160.92
84,281838.3,1.0000,12.95,157.13
85,316227.8,1.0000,13.19,151.25
86,354813.4,1.0000,13.38,140.92
87,398107.2,1.0000,13.38,123.29
88,446683.6,1.0000,12.84,94.88
89,501187.2,1.0000,11.62,68.74
90,562341.3,1.0000,10.25,48.57
91,630957.3,1.0000,8.80,30.35
92,707945.8,1.0000,7.23,13.21
93,794328.2,1.0000,5.58,-3.71
94,891250.9,1.0000,3.84,-20.78
95,1000000.0,1.0000,1.96,-38.37
