#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,20.0,1.0000,-4.56,149.66
2,22.4,1.0000,-4.52,145.22
3,25.1,1.0000,-4.51,140.21
4,28.2,1.0000,-4.50,134.55
5,31.6,1.0000,-4.47,128.24
6,35.5,1.0000,-4.43,120.88
7,39.8,1.0000,-4.38,112.63
8,44.7,1.0000,-4.32,103.07
9,50.1,1.0000,-4.21,92.22
10,56.2,1.0000,-4.07,79.76
11,63.1,1.0000,-3.84,65.22
12,70.8,1.0000,-3.55,48.81
13,79.4,1.0000,-3.17,30.62
14,89.1,1.0000,-2.73,10.59
15,100.0,1.0000,-2.25,-10.54
16,112.2,1.0000,-1.72,-31.96
17,125.9,1.0000,-1.31,-52.99
18,141.3,1.0000,-0.96,-73.06
19,158.5,1.0000,-0.69,-91.65
20,177.8,1.0000,-0.50,-108.83
21,199.5,1.0000,-0.36,-124.76
22,223.9,1.0000,-0.29,-139.64
23,251.2,1.0000,-0.26,-153.60
24,281.8,1.0000,-0.24,-167.06
25,316.2,1.0000,-0.22,179.73
26,354.8,1.0000,-0.24,166.50
27,398.1,1.0000,-0.30,153.09
28,446.7,1.0000,-0.36,139.10
29,501.2,1.0000,-0.45,124.25
30,562.3,1.0000,-0.62,108.46
31,631.0,1.0000,-0.83,91.33
32,707.9,1.0000,-1.12,73.03
33,794.3,1.0000,-1.49,53.43
34,891.3,1.0000,-1.93,32.86
35,1000.0,1.0000,-2.40,11.91
36,1122.0,1.0000,-2.87,-8.75
37,1258.9,1.0000,-3.28,-28.39
38,1412.5,1.0000,-3.65,-46.51
39,1584.9,1.0000,-3.90,-62.82
40,1778.3,1.0000,-4.08,-77.14
41,1995.3,1.0000,-4.20,-89.69
42,2238.7,1.0000,-4.28,-100.53
43,2511.9,1.0000,-4.34,-109.98
44,2818.4,1.0000,-4.37,-118.18
45,3162.3,1.0000,-4.39,-125.34
46,3548.1,1.0000,-4.40,-131.60
47,3981.1,1.0000,-4.40,-137.01
48,4466.8,1.0000,-4.41,-141.87
49,5011.9,1.0000,-4.41,-146.11
50,5623.4,1.0000,-4.41,-149.86
51,6309.6,1.0000,-4.40,-153.18
52,7079.5,1.0000,-4.40,-156.16
53,7943.3,1.0000,-4.40,-158.80
54,8912.5,1.0000,-4.40,-161.11
55,10000.0,1.0000,-4.40,-163.21
56,11220.2,1.0000,-4.40,-165.05
57,12589.3,1.0000,-4.40,-166.65
58,14125.4,1.0000,-4.40,-168.13
59,15848.9,1.0000,-4.40,-169.41
60,17782.8,1.0000,-4.39,189.40
61,19952.6,1.0000,-4.40,188.37
62,22387.2,1.0000,-4.40,187.45
63,25118.9,1.0000,-4.38,186.59
64,28183.8,1.0000,-4.38,185.83
65,31622.8,1.0000,-4.37,185.17
66,35481.3,1.0000,-4.37,184.58
67,39810.7,1.0000,-4.36,184.02
68,44668.4,1.0000,-4.36,183.50
69,50118.7,1.0000,-4.34,183.10
70,56234.1,1.0000,-4.34,182.65
71,63095.7,1.0000,-4.32,182.24
72,70794.6,1.0000,-4.30,181.94
73,79432.8,1.0000,-4.30,181.56
74,89125.1,1.0000,-4.28,181.26
75,100000.0,1.0000,-4.24,180.91
76,112201.8,1.0000,-4.21,180.53
77,125892.5,1.0000,-4.17,180.19
78,141253.8,1.0000,-4.12,179.83
79,158489.3,1.0000,-4.05,179.37
80,177827.9,1.0000,-3.97,178.85
81,199526.2,1.0000,-3.89,178.29
82,223872.1,1.0000,-3.77,177.55
83,251188.6,1.0000,-3.62,176.70
84,281838.3,1.0000,-3.42,175.50
85,316227.8,1.0000,-3.16,173.03
86,354813.4,1.0000,-2.97,167.38
87,398107.2,1.0000,-2.90,157.35
88,446683.6,1.0000,-3.24,138.86
89,501187.2,1.0000,-4.14,119.95
90,562341.3,1.0000,-5.10,106.42
91,630957.3,1.0000,-6.03,95.72
92,707945.8,1.0000,-6.89,85.77
93,794328.2,1.0000,-7.63,76.24
94,891250.9,1.0000,-8.16,66.04
95,1000000.0,1.0000,-8.54,53.79
