#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,20.0,1.0000,-0.02,-30.27
2,22.4,1.0000,-0.02,-34.77
3,25.1,1.0000,-0.03,-39.69
4,28.2,1.0000,-0.05,-45.41
5,31.6,1.0000,-0.08,-51.71
6,35.5,1.0000,-0.13,-58.99
7,39.8,1.0000,-0.19,-67.14
8,44.7,1.0000,-0.32,-76.55
9,50.1,1.0000,-0.53,-87.11
10,56.2,1.0000,-0.84,-99.19
11,63.1,1.0000,-1.32,-113.00
12,70.8,1.0000,-2.02,-128.42
13,79.4,1.0000,-3.02,-145.18
14,89.1,1.0000,-4.46,-163.27
15,100.0,1.0000,-6.30,178.07
16,112.2,1.0000,-8.61,159.56
17,125.9,1.0000,-11.34,141.80
18,141.3,1.0000,-14.40,125.34
19,158.5,1.0000,-17.76,110.59
20,177.8,1.0000,-21.32,97.46
21,199.5,1.0000,-25.03,85.95
22,223.9,1.0000,-28.88,75.80
23,251.2,1.0000,-32.76,67.08
24,281.8,1.0000,-36.68,59.40
25,316.2,1.0000,-40.62,52.70
26,354.8,1.0000,-44.61,46.82
27,398.1,1.0000,-48.61,41.55
28,446.7,1.0000,-52.63,37.00
29,501.2,1.0000,-56.62,33.29
30,562.3,1.0000,-60.58,29.58
31,631.0,1.0000,-64.64,26.94
32,707.9,1.0000,-68.65,23.45
33,794.3,1.0000,-72.70,21.02
34,891.3,1.0000,-77.04,20.30
35,1000.0,1.0000,-82.29,23.32
36,1122.0,1.0000,-85.93,15.69
37,1258.9,1.0000,-91.18,20.30
38,1412.5,1.0000,-94.88,41.55
39,1584.9,1.0000,-101.51,43.13
40,1778.3,1.0000,-102.34,29.87
41,1995.3,1.0000,-100.67,91.68
42,2238.7,1.0000,-100.91,57.38
43,2511.9,1.0000,-103.94,47.73
44,2818.4,1.0000,-107.94,16.42
45,3162.3,1.0000,-105.46,52.14
46,3548.1,1.0000,-109.91,-140.00
47,3981.1,1.0000,-114.79,86.70
48,4466.8,1.0000,-106.88,90.35
49,5011.9,1.0000,-101.65,58.14
50,5623.4,1.0000,-118.94,161.66
51,6309.6,1.0000,-104.19,45.43
52,7079.5,1.0000,-102.33,-145.60
53,7943.3,1.0000,-105.15,12.97
54,8912.5,1.0000,-114.16,101.67
55,10000.0,1.0000,-106.72,60.37
56,11220.2,1.0000,-108.52,60.68
57,12589.3,1.0000,-101.44,82.05
58,14125.4,1.0000,-103.03,41.75
59,15848.9,1.0000,-103.97,72.67
60,17782.8,1.0000,-110.84,52.59
61,19952.6,1.0000,-102.76,54.91
62,22387.2,1.0000,-107.10,95.90
63,25118.9,1.0000,-103.06,78.06
64,28183.8,1.0000,-101.06,60.75
65,31622.8,1.0000,-102.24,129.25
66,35481.3,1.0000,-103.03,157.48
67,39810.7,1.0000,-106.93,167.63
68,44668.4,1.0000,-98.61,188.32
69,50118.7,1.0000,-98.59,127.99
70,56234.1,1.0000,-100.32,144.66
71,63095.7,1.0000,-98.63,185.31
72,70794.6,1.0000,-90.29,-143.59
73,79432.8,1.0000,-91.39,-125.97
74,89125.1,1.0000,-82.92,-147.75
75,100000.0,1.0000,-82.15,-153.35
