#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,20.0,1.0000,-113.79,-44.81
2,22.4,1.0000,-112.07,156.53
3,25.1,1.0000,-105.44,-42.02
4,28.2,1.0000,-100.47,-65.68
5,31.6,1.0000,-110.01,144.83
6,35.5,1.0000,-98.60,-67.15
7,39.8,1.0000,-102.62,-42.53
8,44.7,1.0000,-97.58,-29.44
9,50.1,1.0000,-97.58,-27.93
10,56.2,1.0000,-98.87,-33.06
11,63.1,1.0000,-95.00,7.92
12,70.8,1.0000,-92.15,-17.99
13,79.4,1.0000,-89.75,-13.56
14,89.1,1.0000,-84.54,-19.56
15,100.0,1.0000,-80.59,-12.84
16,112.2,1.0000,-76.66,-18.64
17,125.9,1.0000,-73.38,-18.61
18,141.3,1.0000,-69.27,-25.58
19,158.5,1.0000,-65.00,-24.49
20,177.8,1.0000,-61.04,-28.42
21,199.5,1.0000,-57.06,-32.41
22,223.9,1.0000,-53.05,-36.25
23,251.2,1.0000,-49.01,-40.58
24,281.8,1.0000,-45.07,-45.75
25,316.2,1.0000,-41.08,-51.76
26,354.8,1.0000,-37.11,-58.34
27,398.1,1.0000,-33.22,-66.02
28,446.7,1.0000,-29.35,-74.75
29,501.2,1.0000,-25.52,-84.71
30,562.3,1.0000,-21.78,-96.10
31,631.0,1.0000,-18.19,-109.06
32,707.9,1.0000,-14.83,-123.63
33,794.3,1.0000,-11.71,-139.79
34,891.3,1.0000,-8.98,-157.33
35,1000.0,1.0000,-6.66,184.35
36,1122.0,1.0000,-4.78,165.81
37,1258.9,1.0000,-3.33,147.87
38,1412.5,1.0000,-2.28,130.89
39,1584.9,1.0000,-1.54,115.47
40,1778.3,1.0000,-0.99,101.76
41,1995.3,1.0000,-0.66,89.62
42,2238.7,1.0000,-0.43,79.04
43,2511.9,1.0000,-0.30,69.72
44,2818.4,1.0000,-0.21,61.62
45,3162.3,1.0000,-0.14,54.47
46,3548.1,1.0000,-0.11,48.27
47,3981.1,1.0000,-0.08,42.83
48,4466.8,1.0000,-0.07,38.01
49,5011.9,1.0000,-0.05,33.72
50,5623.4,1.0000,-0.04,29.95
51,6309.6,1.0000,-0.04,26.63
52,7079.5,1.0000,-0.04,23.66
53,7943.3,1.0000,-0.02,21.05
54,8912.5,1.0000,-0.02,18.66
55,10000.0,1.0000,-0.02,16.60
56,11220.2,1.0000,-0.03,14.71
57,12589.3,1.0000,-0.02,13.03
58,14125.4,1.0000,-0.02,11.55
59,15848.9,1.0000,-0.01,10.14
60,17782.8,1.0000,-0.01,8.97
61,19952.6,1.0000,-0.00,7.85
62,22387.2,1.0000,-0.01,6.88
63,25118.9,1.0000,-0.00,5.96
64,28183.8,1.0000,-0.01,5.15
65,31622.8,1.0000,-0.01,4.35
66,35481.3,1.0000,0.01,3.66
67,39810.7,1.0000,0.01,3.08
68,44668.4,1.0000,0.02,2.46
69,50118.7,1.0000,0.02,1.88
70,56234.1,1.0000,0.02,1.30
71,63095.7,1.0000,0.02,0.73
72,70794.6,1.0000,0.03,0.17
73,79432.8,1.0000,0.05,-0.39
74,89125.1,1.0000,0.07,-0.92
75,100000.0,1.0000,0.07,-1.51
