#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,20.0,1.0000,-56.12,-33.29
2,22.4,1.0000,-52.19,-38.13
3,25.1,1.0000,-48.23,-43.36
4,28.2,1.0000,-44.20,-49.59
5,31.6,1.0000,-40.24,-56.23
6,35.5,1.0000,-36.23,-64.07
7,39.8,1.0000,-32.38,-72.70
8,44.7,1.0000,-28.47,-82.75
9,50.1,1.0000,-24.69,-93.95
10,56.2,1.0000,-20.98,-106.72
11,63.1,1.0000,-17.41,-121.39
12,70.8,1.0000,-14.06,-137.77
13,79.4,1.0000,-11.05,-155.66
14,89.1,1.0000,-8.39,184.81
15,100.0,1.0000,-6.15,164.44
16,112.2,1.0000,-4.37,143.86
17,125.9,1.0000,-3.04,123.63
18,141.3,1.0000,-2.06,104.41
19,158.5,1.0000,-1.35,86.40
20,177.8,1.0000,-0.90,69.77
21,199.5,1.0000,-0.60,54.24
22,223.9,1.0000,-0.42,39.73
23,251.2,1.0000,-0.31,26.00
24,281.8,1.0000,-0.26,12.76
25,316.2,1.0000,-0.25,-0.27
26,354.8,1.0000,-0.27,-13.28
27,398.1,1.0000,-0.36,-26.51
28,446.7,1.0000,-0.48,-40.27
29,501.2,1.0000,-0.68,-54.83
30,562.3,1.0000,-1.01,-70.26
31,631.0,1.0000,-1.49,-86.88
32,707.9,1.0000,-2.18,-104.66
33,794.3,1.0000,-3.18,-123.62
34,891.3,1.0000,-4.59,-143.48
35,1000.0,1.0000,-6.38,-163.67
36,1122.0,1.0000,-8.61,176.37
37,1258.9,1.0000,-11.27,157.26
38,1412.5,1.0000,-14.26,139.57
39,1584.9,1.0000,-17.56,123.44
40,1778.3,1.0000,-21.07,109.17
41,1995.3,1.0000,-24.74,96.53
42,2238.7,1.0000,-28.53,85.47
43,2511.9,1.0000,-32.40,75.73
44,2818.4,1.0000,-36.26,67.25
45,3162.3,1.0000,-40.20,59.79
46,3548.1,1.0000,-44.19,53.24
47,3981.1,1.0000,-48.14,47.63
48,4466.8,1.0000,-52.11,42.33
49,5011.9,1.0000,-56.08,37.94
50,5623.4,1.0000,-60.02,34.07
51,6309.6,1.0000,-64.23,30.64
52,7079.5,1.0000,-68.15,27.52
53,7943.3,1.0000,-72.27,26.39
54,8912.5,1.0000,-76.30,22.22
55,10000.0,1.0000,-80.72,22.95
56,11220.2,1.0000,-85.89,21.75
57,12589.3,1.0000,-88.61,21.59
58,14125.4,1.0000,-94.16,18.16
59,15848.9,1.0000,-94.78,39.26
60,17782.8,1.0000,-93.63,57.01
61,19952.6,1.0000,-98.33,23.38
62,22387.2,1.0000,-104.13,44.37
63,25118.9,1.0000,-101.53,58.49
64,28183.8,1.0000,-105.58,-152.66
65,31622.8,1.0000,-99.14,187.51
66,35481.3,1.0000,-110.06,147.96
67,39810.7,1.0000,-95.72,49.53
68,44668.4,1.0000,-118.59,25.70
69,50118.7,1.0000,-92.91,111.46
70,56234.1,1.0000,-93.01,-8.12
71,63095.7,1.0000,-100.29,39.18
72,70794.6,1.0000,-89.77,-5.76
73,79432.8,1.0000,-89.92,27.32
74,89125.1,1.0000,-101.78,-9.40
75,100000.0,1.0000,-89.66,-74.14
