#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,20.0,1.0000,0.18,149.32
2,22.4,1.0000,0.18,144.77
3,25.1,1.0000,0.17,139.75
4,28.2,1.0000,0.19,134.02
5,31.6,1.0000,0.18,127.60
6,35.5,1.0000,0.18,120.22
7,39.8,1.0000,0.18,111.95
8,44.7,1.0000,0.17,102.30
9,50.1,1.0000,0.16,91.49
10,56.2,1.0000,0.13,79.01
11,63.1,1.0000,0.09,64.57
12,70.8,1.0000,0.04,48.31
13,79.4,1.0000,-0.04,30.23
14,89.1,1.0000,-0.11,10.41
15,100.0,1.0000,-0.18,-10.77
16,112.2,1.0000,-0.21,-32.41
17,125.9,1.0000,-0.24,-53.86
18,141.3,1.0000,-0.24,-74.38
19,158.5,1.0000,-0.22,-93.63
20,177.8,1.0000,-0.21,-111.47
21,199.5,1.0000,-0.18,-128.14
22,223.9,1.0000,-0.18,-143.71
23,251.2,1.0000,-0.15,-158.37
24,281.8,1.0000,-0.18,187.34
25,316.2,1.0000,-0.18,173.34
26,354.8,1.0000,-0.19,159.22
27,398.1,1.0000,-0.21,144.72
28,446.7,1.0000,-0.24,129.53
29,501.2,1.0000,-0.28,113.46
30,562.3,1.0000,-0.32,96.18
31,631.0,1.0000,-0.37,77.45
32,707.9,1.0000,-0.42,57.22
33,794.3,1.0000,-0.46,35.60
34,891.3,1.0000,-0.46,12.89
35,1000.0,1.0000,-0.43,-10.30
36,1122.0,1.0000,-0.36,-33.43
37,1258.9,1.0000,-0.28,-55.80
38,1412.5,1.0000,-0.20,-77.08
39,1584.9,1.0000,-0.15,-96.98
40,1778.3,1.0000,-0.13,-115.66
41,1995.3,1.0000,-0.18,-133.20
42,2238.7,1.0000,-0.28,-149.82
43,2511.9,1.0000,-0.48,-165.90
44,2818.4,1.0000,-0.78,178.34
45,3162.3,1.0000,-1.26,162.82
46,3548.1,1.0000,-1.92,147.63
47,3981.1,1.0000,-2.80,132.74
48,4466.8,1.0000,-3.96,118.61
49,5011.9,1.0000,-5.30,105.47
50,5623.4,1.0000,-6.82,93.43
51,6309.6,1.0000,-8.49,82.68
52,7079.5,1.0000,-10.27,73.11
53,7943.3,1.0000,-12.10,64.67
54,8912.5,1.0000,-14.00,57.26
55,10000.0,1.0000,-15.94,50.75
56,11220.2,1.0000,-17.89,45.06
57,12589.3,1.0000,-19.85,40.13
58,14125.4,1.0000,-21.82,35.66
59,15848.9,1.0000,-23.80,31.83
60,17782.8,1.0000,-25.82,28.34
61,19952.6,1.0000,-27.78,25.20
62,22387.2,1.0000,-29.77,22.55
63,25118.9,1.0000,-31.75,20.10
64,28183.8,1.0000,-33.72,17.93
65,31622.8,1.0000,-35.70,15.93
66,35481.3,1.0000,-37.69,14.10
67,39810.7,1.0000,-39.68,12.55
68,44668.4,1.0000,-41.65,11.12
69,50118.7,1.0000,-43.61,9.80
70,56234.1,1.0000,-45.57,8.52
71,63095.7,1.0000,-47.58,7.39
72,70794.6,1.0000,-49.51,6.17
73,79432.8,1.0000,-51.51,5.23
74,89125.1,1.0000,-53.46,3.75
75,100000.0,1.0000,-55.40,2.83
